date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8
2026-08-18,Sheriff Tiraspol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-18,Petrocub,0.0,0.6404,0.2854,0.0742,0.0,0.0,0.0,0.0
2026-08-18,Zimbru,0.0,0.3435,0.592,0.0645,0.0,0.0,0.0,0.0
2026-08-18,Dacia-Buiucani,0.0,0.0161,0.1226,0.7111,0.1502,0.0,0.0,0.0
2026-08-18,Politehnica UTM,0.0,0.0,0.0,0.1502,0.8498,0.0,0.0,0.0
2026-08-18,Milsami Orhei,0.0,0.0,0.0,0.0,0.0,0.6869,0.2814,0.0317
2026-08-18,CSF Bălți,0.0,0.0,0.0,0.0,0.0,0.0573,0.1714,0.7713
2026-08-18,Sireți,0.0,0.0,0.0,0.0,0.0,0.2558,0.5472,0.197
2026-08-19,Sheriff Tiraspol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-19,Petrocub,0.0,0.6368,0.2946,0.0686,0.0,0.0,0.0,0.0
2026-08-19,Zimbru,0.0,0.3468,0.5848,0.0684,0.0,0.0,0.0,0.0
2026-08-19,Dacia-Buiucani,0.0,0.0164,0.1206,0.7115,0.1515,0.0,0.0,0.0
2026-08-19,Politehnica UTM,0.0,0.0,0.0,0.1515,0.8485,0.0,0.0,0.0
2026-08-19,Milsami Orhei,0.0,0.0,0.0,0.0,0.0,0.6827,0.2885,0.0288
2026-08-19,CSF Bălți,0.0,0.0,0.0,0.0,0.0,0.0605,0.1712,0.7683
2026-08-19,Sireți,0.0,0.0,0.0,0.0,0.0,0.2568,0.5403,0.2029
2026-08-20,Sheriff Tiraspol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-20,Petrocub,0.0,0.6406,0.2845,0.0749,0.0,0.0,0.0,0.0
2026-08-20,Zimbru,0.0,0.344,0.5872,0.0688,0.0,0.0,0.0,0.0
2026-08-20,Dacia-Buiucani,0.0,0.0154,0.1283,0.7008,0.1555,0.0,0.0,0.0
2026-08-20,Politehnica UTM,0.0,0.0,0.0,0.1555,0.8445,0.0,0.0,0.0
2026-08-20,Milsami Orhei,0.0,0.0,0.0,0.0,0.0,0.6827,0.2793,0.038
2026-08-20,CSF Bălți,0.0,0.0,0.0,0.0,0.0,0.0614,0.1767,0.7619
2026-08-20,Sireți,0.0,0.0,0.0,0.0,0.0,0.2559,0.544,0.2001
2026-08-21,Sheriff Tiraspol,0.6701,0.2288,0.0921,0.0074,0.0016,0.0,0.0,0.0
2026-08-21,Petrocub,0.1864,0.4032,0.3584,0.0433,0.0072,0.0014,0.0001,0.0
2026-08-21,Zimbru,0.142,0.3507,0.4451,0.05,0.0106,0.0013,0.0003,0.0
2026-08-21,Dacia-Buiucani,0.0002,0.0049,0.0272,0.2485,0.2925,0.2502,0.1344,0.0421
2026-08-21,Politehnica UTM,0.0003,0.0022,0.0246,0.2256,0.2772,0.2686,0.1488,0.0527
2026-08-21,Milsami Orhei,0.001,0.01,0.0498,0.3665,0.2657,0.1861,0.0881,0.0328
2026-08-21,CSF Bălți,0.0,0.0002,0.0024,0.0384,0.0907,0.1746,0.3559,0.3378
2026-08-21,Sireți,0.0,0.0,0.0004,0.0203,0.0545,0.1178,0.2724,0.5346
2026-08-22,Sheriff Tiraspol,0.6592,0.2315,0.0996,0.0082,0.0013,0.0002,0.0,0.0
2026-08-22,Petrocub,0.1757,0.3851,0.3698,0.0547,0.0115,0.0028,0.0004,0.0
2026-08-22,Zimbru,0.1632,0.3662,0.4109,0.0485,0.0091,0.0017,0.0003,0.0001
2026-08-22,Dacia-Buiucani,0.0006,0.0052,0.0371,0.2793,0.2872,0.243,0.1106,0.037
2026-08-22,Politehnica UTM,0.0007,0.0042,0.0328,0.2407,0.2828,0.2568,0.1344,0.0476
2026-08-22,Milsami Orhei,0.0006,0.0076,0.0455,0.3202,0.276,0.2101,0.1055,0.0345
2026-08-22,CSF Bălți,0.0,0.0002,0.0026,0.0287,0.077,0.1531,0.3484,0.39
2026-08-22,Sireți,0.0,0.0,0.0017,0.0197,0.0551,0.1323,0.3004,0.4908
